	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
0	Fred Astaire	Fred	Astaire	4	7.0	fred	astaire	fred_astaire	True
1	Lauren Bacall	Lauren	Bacall	6	6.0	lauren	bacall	lauren_bacall	True
2	Brigitte Bardot	Brigitte	Bardot	8	6.0	brigitte	bardot	brigitte_bardot	True
3	John Belushi	John	Belushi	4	7.0	john	belushi	john_belushi	True
4	Ingmar Bergman	Ingmar	Bergman	6	7.0	ingmar	bergman	ingmar_bergman	True
5	Ingrid Bergman	Ingrid	Bergman	6	7.0	ingrid	bergman	ingrid_bergman	True
6	Humphrey Bogart	Humphrey	Bogart	8	6.0	humphrey	bogart	humphrey_bogart	True
7	Marlon Brando	Marlon	Brando	6	6.0	marlon	brando	marlon_brando	True
8	Richard Burton	Richard	Burton	7	6.0	richard	burton	richard_burton	True
9	James Cagney	James	Cagney	5	6.0	james	cagney	james_cagney	True
10	Gary Cooper	Gary	Cooper	4	6.0	gary	cooper	gary_cooper	True
11	Bette Davis	Bette	Davis	5	5.0	bette	davis	bette_davis	True
12	Doris Day	Doris	Day	5	3.0	doris	day	doris_day	True
13	Olivia de Havilland	Olivia	de Havilland	6	12.0	olivia	de havilland	olivia_de havilland	False
14	James Dean	James	Dean	5	4.0	james	dean	james_dean	True
15	Georges Delerue	Georges	Delerue	7	7.0	georges	delerue	georges_delerue	False
16	Marlene Dietrich	Marlene	Dietrich	7	8.0	marlene	dietrich	marlene_dietrich	True
17	Kirk Douglas	Kirk	Douglas	4	7.0	kirk	douglas	kirk_douglas	True
18	Federico Fellini	Federico	Fellini	8	7.0	federico	fellini	federico_fellini	True
19	Henry Fonda	Henry	Fonda	5	5.0	henry	fonda	henry_fonda	True
20	Joan Fontaine	Joan	Fontaine	4	8.0	joan	fontaine	joan_fontaine	True
21	Clark Gable	Clark	Gable	5	5.0	clark	gable	clark_gable	True
22	Judy Garland	Judy	Garland	4	7.0	judy	garland	judy_garland	True
23	John Gielgud	John	Gielgud	4	7.0	john	gielgud	john_gielgud	True
24	Jerry Goldsmith	Jerry	Goldsmith	5	9.0	jerry	goldsmith	jerry_goldsmith	True
25	Cary Grant	Cary	Grant	4	5.0	cary	grant	cary_grant	True
26	Alec Guinness	Alec	Guinness	4	8.0	alec	guinness	alec_guinness	True
27	Rita Hayworth	Rita	Hayworth	4	8.0	rita	hayworth	rita_hayworth	True
28	Margaux Hemingway	Margaux	Hemingway	7	9.0	margaux	hemingway	margaux_hemingway	True
29	Audrey Hepburn	Audrey	Hepburn	6	7.0	audrey	hepburn	audrey_hepburn	True
30	Katharine Hepburn	Katharine	Hepburn	9	7.0	katharine	hepburn	katharine_hepburn	True
31	Charlton Heston	Charlton	Heston	8	6.0	charlton	heston	charlton_heston	True
32	Alfred Hitchcock	Alfred	Hitchcock	6	9.0	alfred	hitchcock	alfred_hitchcock	True
33	William Holden	William	Holden	7	6.0	william	holden	william_holden	True
34	James Horner	James	Horner	5	6.0	james	horner	james_horner	True
35	Buster Keaton	Buster	Keaton	6	6.0	buster	keaton	buster_keaton	True
36	Gene Kelly	Gene	Kelly	4	5.0	gene	kelly	gene_kelly	True
37	Grace Kelly	Grace	Kelly	5	5.0	grace	kelly	grace_kelly	True
38	Deborah Kerr	Deborah	Kerr	7	4.0	deborah	kerr	deborah_kerr	True
39	Stanley Kubrick	Stanley	Kubrick	7	7.0	stanley	kubrick	stanley_kubrick	True
40	Akira Kurosawa	Akira	Kurosawa	5	8.0	akira	kurosawa	akira_kurosawa	True
41	Alan Ladd	Alan	Ladd	4	4.0	alan	ladd	alan_ladd	True
42	Veronica Lake	Veronica	Lake	8	4.0	veronica	lake	veronica_lake	True
43	Burt Lancaster	Burt	Lancaster	4	9.0	burt	lancaster	burt_lancaster	True
44	Bruce Lee	Bruce	Lee	5	3.0	bruce	lee	bruce_lee	True
45	Vivien Leigh	Vivien	Leigh	6	5.0	vivien	leigh	vivien_leigh	True
46	Sophia Loren	Sophia	Loren	6	5.0	sophia	loren	sophia_loren	True
47	Peter Lorre	Peter	Lorre	5	5.0	peter	lorre	peter_lorre	True
48	Henry Mancini	Henry	Mancini	5	7.0	henry	mancini	henry_mancini	True
49	Groucho Marx	Groucho	Marx	7	4.0	groucho	marx	groucho_marx	True
50	James Mason	James	Mason	5	5.0	james	mason	james_mason	True
51	Marcello Mastroianni	Marcello	Mastroianni	8	11.0	marcello	mastroianni	marcello_mastroianni	True
52	Robert Mitchum	Robert	Mitchum	6	7.0	robert	mitchum	robert_mitchum	True
53	Marilyn Monroe	Marilyn	Monroe	7	6.0	marilyn	monroe	marilyn_monroe	True
54	Alfred Newman	Alfred	Newman	6	6.0	alfred	newman	alfred_newman	True
55	Paul Newman	Paul	Newman	4	6.0	paul	newman	paul_newman	True
56	David Niven	David	Niven	5	5.0	david	niven	david_niven	True
57	Maureen O'Hara	Maureen	O'Hara	7	6.0	maureen	o'hara	maureen_o'hara	False
58	Laurence Olivier	Laurence	Olivier	8	7.0	laurence	olivier	laurence_olivier	True
59	Gregory Peck	Gregory	Peck	7	4.0	gregory	peck	gregory_peck	True
60	Tyrone Power	Tyrone	Power	6	5.0	tyrone	power	tyrone_power	True
61	Elvis Presley	Elvis	Presley	5	7.0	elvis	presley	elvis_presley	True
62	Anthony Quinn	Anthony	Quinn	7	5.0	anthony	quinn	anthony_quinn	True
63	Edward G. Robinson	Edward	G. Robinson	6	11.0	edward	g. robinson	edward_g. robinson	False
64	Nino Rota	Nino	Rota	4	4.0	nino	rota	nino_rota	True
65	Jane Russell	Jane	Russell	4	7.0	jane	russell	jane_russell	True
66	Miklós Rózsa	Miklós	Rózsa	6	5.0	miklós	rózsa	miklós_rózsa	False
67	Randolph Scott	Randolph	Scott	8	5.0	randolph	scott	randolph_scott	True
68	Frank Sinatra	Frank	Sinatra	5	7.0	frank	sinatra	frank_sinatra	True
69	Max Steiner	Max	Steiner	3	7.0	max	steiner	max_steiner	True
70	James Stewart	James	Stewart	5	7.0	james	stewart	james_stewart	True
71	Elizabeth Taylor	Elizabeth	Taylor	9	6.0	elizabeth	taylor	elizabeth_taylor	True
72	Shirley Temple	Shirley	Temple	7	6.0	shirley	temple	shirley_temple	True
73	Gene Tierney	Gene	Tierney	4	7.0	gene	tierney	gene_tierney	True
74	Spencer Tracy	Spencer	Tracy	7	5.0	spencer	tracy	spencer_tracy	True
75	François Truffaut	François	Truffaut	8	8.0	françois	truffaut	françois_truffaut	True
76	Franz Waxman	Franz	Waxman	5	6.0	franz	waxman	franz_waxman	True
77	John Wayne	John	Wayne	4	5.0	john	wayne	john_wayne	True
78	Raquel Welch	Raquel	Welch	6	5.0	raquel	welch	raquel_welch	True
79	Orson Welles	Orson	Welles	5	6.0	orson	welles	orson_welles	True
80	Natalie Wood	Natalie	Wood	7	4.0	natalie	wood	natalie_wood	True
81	Victor Young	Victor	Young	6	5.0	victor	young	victor_young	False
82	Alan Miller	Alan	Miller	4	6.0	alan	miller	alan_miller	False
83	Li Gong	Li	Gong	2	4.0	li	gong	li_gong	True
84	Henner Hofmann	Henner	Hofmann	6	7.0	henner	hofmann	henner_hofmann	False
85	Louis de Funès	Louis	de Funès	5	8.0	louis	de funès	louis_de funès	False
86	Elena Koreneva	Elena	Koreneva	5	8.0	elena	koreneva	elena_koreneva	False
87	Aleksey Korenev	Aleksey	Korenev	7	7.0	aleksey	korenev	aleksey_korenev	False
88	Richard Paul	Richard	Paul	7	4.0	richard	paul	richard_paul	False
89	Armin Mueller-Stahl	Armin	Mueller-Stahl	5	13.0	armin	mueller-stahl	armin_mueller-stahl	False
90	Gérard Pirès	Gérard	Pirès	6	5.0	gérard	pirès	gérard_pirès	False
91	John Cleese	John	Cleese	4	6.0	john	cleese	john_cleese	True
92	Brad Pitt	Brad	Pitt	4	4.0	brad	pitt	brad_pitt	True
93	J. Reifel	J.	Reifel	2	6.0	j.	reifel	j._reifel	False
94	Woody Allen	Woody	Allen	5	5.0	woody	allen	woody_allen	True
95	Gillian Anderson	Gillian	Anderson	7	8.0	gillian	anderson	gillian_anderson	True
96	Pamela Anderson	Pamela	Anderson	6	8.0	pamela	anderson	pamela_anderson	True
97	Jennifer Aniston	Jennifer	Aniston	8	7.0	jennifer	aniston	jennifer_aniston	True
98	Patricia Arquette	Patricia	Arquette	8	8.0	patricia	arquette	patricia_arquette	True
99	Rowan Atkinson	Rowan	Atkinson	5	8.0	rowan	atkinson	rowan_atkinson	True
100	Dan Aykroyd	Dan	Aykroyd	3	7.0	dan	aykroyd	dan_aykroyd	True
101	Kevin Bacon	Kevin	Bacon	5	5.0	kevin	bacon	kevin_bacon	True
102	Fairuza Balk	Fairuza	Balk	7	4.0	fairuza	balk	fairuza_balk	True
103	Antonio Banderas	Antonio	Banderas	7	8.0	antonio	banderas	antonio_banderas	True
104	Adrienne Barbeau	Adrienne	Barbeau	8	7.0	adrienne	barbeau	adrienne_barbeau	True
105	Drew Barrymore	Drew	Barrymore	4	9.0	drew	barrymore	drew_barrymore	True
106	Kim Basinger	Kim	Basinger	3	8.0	kim	basinger	kim_basinger	True
107	Luc Besson	Luc	Besson	3	6.0	luc	besson	luc_besson	True
108	Yasmine Bleeth	Yasmine	Bleeth	7	6.0	yasmine	bleeth	yasmine_bleeth	True
109	Kenneth Branagh	Kenneth	Branagh	7	7.0	kenneth	branagh	kenneth_branagh	True
110	Matthew Broderick	Matthew	Broderick	7	9.0	matthew	broderick	matthew_broderick	True
111	Pierce Brosnan	Pierce	Brosnan	6	7.0	pierce	brosnan	pierce_brosnan	True
112	Sandra Bullock	Sandra	Bullock	6	7.0	sandra	bullock	sandra_bullock	True
113	Steve Buscemi	Steve	Buscemi	5	7.0	steve	buscemi	steve_buscemi	True
114	Nicolas Cage	Nicolas	Cage	7	4.0	nicolas	cage	nicolas_cage	True
115	James Cameron	James	Cameron	5	7.0	james	cameron	james_cameron	True
116	Neve Campbell	Neve	Campbell	4	8.0	neve	campbell	neve_campbell	True
117	John Carpenter	John	Carpenter	4	9.0	john	carpenter	john_carpenter	True
118	Tia Carrere	Tia	Carrere	3	7.0	tia	carrere	tia_carrere	True
119	Jim Carrey	Jim	Carrey	3	6.0	jim	carrey	jim_carrey	True
120	Phoebe Cates	Phoebe	Cates	6	5.0	phoebe	cates	phoebe_cates	False
121	Charles Chaplin	Charles	Chaplin	7	7.0	charles	chaplin	charles_chaplin	True
122	George Clooney	George	Clooney	6	7.0	george	clooney	george_clooney	True
123	Jennifer Connelly	Jennifer	Connelly	8	8.0	jennifer	connelly	jennifer_connelly	True
124	Sean Connery	Sean	Connery	4	7.0	sean	connery	sean_connery	True
125	Kevin Costner	Kevin	Costner	5	7.0	kevin	costner	kevin_costner	True
126	Wes Craven	Wes	Craven	3	6.0	wes	craven	wes_craven	True
127	Russell Crowe	Russell	Crowe	7	5.0	russell	crowe	russell_crowe	True
128	Tom Cruise	Tom	Cruise	3	6.0	tom	cruise	tom_cruise	True
129	Jamie Lee Curtis	Jamie	Lee Curtis	5	10.0	jamie	lee curtis	jamie_lee curtis	False
130	John Cusack	John	Cusack	4	6.0	john	cusack	john_cusack	True
131	Claire Danes	Claire	Danes	6	5.0	claire	danes	claire_danes	True
132	Geena Davis	Geena	Davis	5	5.0	geena	davis	geena_davis	True
133	Robert De Niro	Robert	De Niro	6	7.0	robert	de niro	robert_de niro	False
134	John Denver	John	Denver	4	6.0	john	denver	john_denver	True
135	Johnny Depp	Johnny	Depp	6	4.0	johnny	depp	johnny_depp	True
136	Bo Derek	Bo	Derek	2	5.0	bo	derek	bo_derek	True
137	Leonardo DiCaprio	Leonardo	DiCaprio	8	8.0	leonardo	dicaprio	leonardo_dicaprio	True
138	Cameron Diaz	Cameron	Diaz	7	4.0	cameron	diaz	cameron_diaz	True
139	Michael Douglas	Michael	Douglas	7	7.0	michael	douglas	michael_douglas	True
140	David Duchovny	David	Duchovny	5	8.0	david	duchovny	david_duchovny	True
141	Clint Eastwood	Clint	Eastwood	5	8.0	clint	eastwood	clint_eastwood	True
142	Erika Eleniak	Erika	Eleniak	5	7.0	erika	eleniak	erika_eleniak	True
143	Cary Elwes	Cary	Elwes	4	5.0	cary	elwes	cary_elwes	True
144	Sherilyn Fenn	Sherilyn	Fenn	8	4.0	sherilyn	fenn	sherilyn_fenn	True
145	Ralph Fiennes	Ralph	Fiennes	5	7.0	ralph	fiennes	ralph_fiennes	True
146	Colin Firth	Colin	Firth	5	5.0	colin	firth	colin_firth	True
147	Harrison Ford	Harrison	Ford	8	4.0	harrison	ford	harrison_ford	True
148	Jodie Foster	Jodie	Foster	5	6.0	jodie	foster	jodie_foster	True
149	Michael J. Fox	Michael	J. Fox	7	6.0	michael	j. fox	michael_j. fox	False
150	Morgan Freeman	Morgan	Freeman	6	7.0	morgan	freeman	morgan_freeman	True
151	Richard Gere	Richard	Gere	7	4.0	richard	gere	richard_gere	True
152	Gina Gershon	Gina	Gershon	4	7.0	gina	gershon	gina_gershon	True
153	Mel Gibson	Mel	Gibson	3	6.0	mel	gibson	mel_gibson	True
154	Whoopi Goldberg	Whoopi	Goldberg	6	8.0	whoopi	goldberg	whoopi_goldberg	True
155	Jeff Goldblum	Jeff	Goldblum	4	8.0	jeff	goldblum	jeff_goldblum	True
156	Linda Hamilton	Linda	Hamilton	5	8.0	linda	hamilton	linda_hamilton	True
157	Tom Hanks	Tom	Hanks	3	5.0	tom	hanks	tom_hanks	True
158	Teri Hatcher	Teri	Hatcher	4	7.0	teri	hatcher	teri_hatcher	True
159	Ethan Hawke	Ethan	Hawke	5	5.0	ethan	hawke	ethan_hawke	True
160	Salma Hayek	Salma	Hayek	5	5.0	salma	hayek	salma_hayek	True
161	Anne Heche	Anne	Heche	4	5.0	anne	heche	anne_heche	True
162	Dustin Hoffman	Dustin	Hoffman	6	7.0	dustin	hoffman	dustin_hoffman	True
163	Anthony Hopkins	Anthony	Hopkins	7	7.0	anthony	hopkins	anthony_hopkins	True
164	Ron Howard	Ron	Howard	3	6.0	ron	howard	ron_howard	True
165	Helen Hunt	Helen	Hunt	5	4.0	helen	hunt	helen_hunt	True
166	Elizabeth Hurley	Elizabeth	Hurley	9	6.0	elizabeth	hurley	elizabeth_hurley	True
167	Samuel L. Jackson	Samuel	L. Jackson	6	10.0	samuel	l. jackson	samuel_l. jackson	False
168	Tommy Lee Jones	Tommy	Lee Jones	5	9.0	tommy	lee jones	tommy_lee jones	False
169	Milla Jovovich	Milla	Jovovich	5	8.0	milla	jovovich	milla_jovovich	True
170	Ashley Judd	Ashley	Judd	6	4.0	ashley	judd	ashley_judd	True
171	Harvey Keitel	Harvey	Keitel	6	6.0	harvey	keitel	harvey_keitel	True
172	Nicole Kidman	Nicole	Kidman	6	6.0	nicole	kidman	nicole_kidman	True
173	Val Kilmer	Val	Kilmer	3	6.0	val	kilmer	val_kilmer	True
174	Stephen King	Stephen	King	7	4.0	stephen	king	stephen_king	True
175	Nastassja Kinski	Nastassja	Kinski	9	6.0	nastassja	kinski	nastassja_kinski	True
176	Kevin Kline	Kevin	Kline	5	5.0	kevin	kline	kevin_kline	True
177	Diane Lane	Diane	Lane	5	4.0	diane	lane	diane_lane	True
178	Jude Law	Jude	Law	4	3.0	jude	law	jude_law	True
179	David Lean	David	Lean	5	4.0	david	lean	david_lean	True
180	Heather Locklear	Heather	Locklear	7	8.0	heather	locklear	heather_locklear	False
181	Jennifer Lopez	Jennifer	Lopez	8	5.0	jennifer	lopez	jennifer_lopez	True
182	Traci Lords	Traci	Lords	5	5.0	traci	lords	traci_lords	True
183	George Lucas	George	Lucas	6	5.0	george	lucas	george_lucas	True
184	Dolph Lundgren	Dolph	Lundgren	5	8.0	dolph	lundgren	dolph_lundgren	True
185	David Lynch	David	Lynch	5	5.0	david	lynch	david_lynch	True
186	Madonna	Madonna		7		madonna			False
187	Steve Martin	Steve	Martin	5	6.0	steve	martin	steve_martin	True
188	Jenny McCarthy	Jenny	McCarthy	5	8.0	jenny	mccarthy	jenny_mccarthy	True
189	Matthew McConaughey	Matthew	McConaughey	7	11.0	matthew	mcconaughey	matthew_mcconaughey	True
190	Ewan McGregor	Ewan	McGregor	4	8.0	ewan	mcgregor	ewan_mcgregor	True
191	Alyssa Milano	Alyssa	Milano	6	6.0	alyssa	milano	alyssa_milano	True
192	Demi Moore	Demi	Moore	4	5.0	demi	moore	demi_moore	True
193	Julianne Moore	Julianne	Moore	8	5.0	julianne	moore	julianne_moore	True
194	Bill Murray	Bill	Murray	4	6.0	bill	murray	bill_murray	True
195	Mike Myers	Mike	Myers	4	5.0	mike	myers	mike_myers	True
196	Jack Nicholson	Jack	Nicholson	4	9.0	jack	nicholson	jack_nicholson	True
197	Gary Oldman	Gary	Oldman	4	6.0	gary	oldman	gary_oldman	True
198	Al Pacino	Al	Pacino	2	6.0	al	pacino	al_pacino	True
199	Bill Paxton	Bill	Paxton	4	6.0	bill	paxton	bill_paxton	True
200	Michelle Pfeiffer	Michelle	Pfeiffer	8	8.0	michelle	pfeiffer	michelle_pfeiffer	True
201	Ryan Phillippe	Ryan	Phillippe	4	9.0	ryan	phillippe	ryan_phillippe	True
202	River Phoenix	River	Phoenix	5	7.0	river	phoenix	river_phoenix	True
203	Natalie Portman	Natalie	Portman	7	7.0	natalie	portman	natalie_portman	True
204	Parker Posey	Parker	Posey	6	5.0	parker	posey	parker_posey	True
205	Keanu Reeves	Keanu	Reeves	5	6.0	keanu	reeves	keanu_reeves	True
206	Christina Ricci	Christina	Ricci	9	5.0	christina	ricci	christina_ricci	True
207	Molly Ringwald	Molly	Ringwald	5	8.0	molly	ringwald	molly_ringwald	True
208	Tim Robbins	Tim	Robbins	3	7.0	tim	robbins	tim_robbins	True
209	Julia Roberts	Julia	Roberts	5	7.0	julia	roberts	julia_roberts	True
210	Mimi Rogers	Mimi	Rogers	4	6.0	mimi	rogers	mimi_rogers	True
211	Meg Ryan	Meg	Ryan	3	4.0	meg	ryan	meg_ryan	True
212	Winona Ryder	Winona	Ryder	6	5.0	winona	ryder	winona_ryder	True
213	Mia Sara	Mia	Sara	3	4.0	mia	sara	mia_sara	True
214	Susan Sarandon	Susan	Sarandon	5	8.0	susan	sarandon	susan_sarandon	True
215	Arnold Schwarzenegger	Arnold	Schwarzenegger	6	14.0	arnold	schwarzenegger	arnold_schwarzenegger	True
216	Martin Scorsese	Martin	Scorsese	6	8.0	martin	scorsese	martin_scorsese	True
217	Kristin Scott Thomas	Kristin	Scott Thomas	7	12.0	kristin	scott thomas	kristin_scott thomas	False
218	Steven Seagal	Steven	Seagal	6	6.0	steven	seagal	steven_seagal	True
219	Joan Severance	Joan	Severance	4	9.0	joan	severance	joan_severance	True
220	Charlie Sheen	Charlie	Sheen	7	5.0	charlie	sheen	charlie_sheen	True
221	Brooke Shields	Brooke	Shields	6	7.0	brooke	shields	brooke_shields	True
222	Elisabeth Shue	Elisabeth	Shue	9	4.0	elisabeth	shue	elisabeth_shue	True
223	Alicia Silverstone	Alicia	Silverstone	6	11.0	alicia	silverstone	alicia_silverstone	True
224	Christian Slater	Christian	Slater	9	6.0	christian	slater	christian_slater	True
225	Will Smith	Will	Smith	4	5.0	will	smith	will_smith	True
226	Mira Sorvino	Mira	Sorvino	4	7.0	mira	sorvino	mira_sorvino	True
227	Kevin Spacey	Kevin	Spacey	5	6.0	kevin	spacey	kevin_spacey	True
228	Steven Spielberg	Steven	Spielberg	6	9.0	steven	spielberg	steven_spielberg	True
229	Sylvester Stallone	Sylvester	Stallone	9	8.0	sylvester	stallone	sylvester_stallone	True
230	Oliver Stone	Oliver	Stone	6	5.0	oliver	stone	oliver_stone	True
231	Sharon Stone	Sharon	Stone	6	5.0	sharon	stone	sharon_stone	True
232	Quentin Tarantino	Quentin	Tarantino	7	9.0	quentin	tarantino	quentin_tarantino	True
233	Charlize Theron	Charlize	Theron	8	6.0	charlize	theron	charlize_theron	True
234	Uma Thurman	Uma	Thurman	3	7.0	uma	thurman	uma_thurman	True
235	Jennifer Tilly	Jennifer	Tilly	8	5.0	jennifer	tilly	jennifer_tilly	True
236	John Travolta	John	Travolta	4	8.0	john	travolta	john_travolta	True
237	Shannon Tweed	Shannon	Tweed	7	5.0	shannon	tweed	shannon_tweed	True
238	Liv Tyler	Liv	Tyler	3	5.0	liv	tyler	liv_tyler	True
239	Skeet Ulrich	Skeet	Ulrich	5	6.0	skeet	ulrich	skeet_ulrich	True
240	Jean-Claude Van Damme	Jean-Claude	Van Damme	11	9.0	jean-claude	van damme	jean-claude_van damme	False
241	Mark Wahlberg	Mark	Wahlberg	4	8.0	mark	wahlberg	mark_wahlberg	True
242	Denzel Washington	Denzel	Washington	6	10.0	denzel	washington	denzel_washington	True
243	Sigourney Weaver	Sigourney	Weaver	9	6.0	sigourney	weaver	sigourney_weaver	True
244	Robin Williams	Robin	Williams	5	8.0	robin	williams	robin_williams	True
245	Bruce Willis	Bruce	Willis	5	6.0	bruce	willis	bruce_willis	True
246	John Woo	John	Woo	4	3.0	john	woo	john_woo	True
247	Edward D. Wood Jr.	Edward	D. Wood Jr.	6	11.0	edward	d. wood jr.	edward_d. wood jr.	False
248	James Woods	James	Woods	5	5.0	james	woods	james_woods	True
249	Renée Zellweger	Renée	Zellweger	5	9.0	renée	zellweger	renée_zellweger	True
250	Timothy Dowling	Timothy	Dowling	7	7.0	timothy	dowling	timothy_dowling	False
251	Robert Ellis	Robert	Ellis	6	5.0	robert	ellis	robert_ellis	False
252	Robert Ellis	Robert	Ellis	6	5.0	robert	ellis	robert_ellis	False
253	Isabelle Adjani	Isabelle	Adjani	8	6.0	isabelle	adjani	isabelle_adjani	True
254	Ben Affleck	Ben	Affleck	3	7.0	ben	affleck	ben_affleck	True
255	Jenny Agutter	Jenny	Agutter	5	7.0	jenny	agutter	jenny_agutter	True
256	Alan Alda	Alan	Alda	4	4.0	alan	alda	alan_alda	True
257	Stephanie Zimbalist	Stephanie	Zimbalist	9	9.0	stephanie	zimbalist	stephanie_zimbalist	True
258	Ginger Lynn	Ginger	Lynn	6	4.0	ginger	lynn	ginger_lynn	True
259	Joan Allen	Joan	Allen	4	5.0	joan	allen	joan_allen	True
260	Karen Allen	Karen	Allen	5	5.0	karen	allen	karen_allen	True
261	Nancy Allen	Nancy	Allen	5	5.0	nancy	allen	nancy_allen	True
262	Kirstie Alley	Kirstie	Alley	7	5.0	kirstie	alley	kirstie_alley	True
263	Pedro Almodóvar	Pedro	Almodóvar	5	9.0	pedro	almodóvar	pedro_almodóvar	False
264	Robert Altman	Robert	Altman	6	6.0	robert	altman	robert_altman	True
265	Ursula Andress	Ursula	Andress	6	7.0	ursula	andress	ursula_andress	True
266	Julie Andrews	Julie	Andrews	5	7.0	julie	andrews	julie_andrews	True
267	Ann-Margret	Ann-Margret		11		ann-margret			False
268	Jean-Jacques Annaud	Jean-Jacques	Annaud	12	6.0	jean-jacques	annaud	jean-jacques_annaud	False
269	Gabrielle Anwar	Gabrielle	Anwar	9	5.0	gabrielle	anwar	gabrielle_anwar	False
270	Anne Archer	Anne	Archer	4	6.0	anne	archer	anne_archer	True
271	Fanny Ardant	Fanny	Ardant	5	6.0	fanny	ardant	fanny_ardant	True
272	Alan Arkin	Alan	Arkin	4	5.0	alan	arkin	alan_arkin	True
273	David Arquette	David	Arquette	5	8.0	david	arquette	david_arquette	True
274	Rosanna Arquette	Rosanna	Arquette	7	8.0	rosanna	arquette	rosanna_arquette	True
275	Sean Astin	Sean	Astin	4	5.0	sean	astin	sean_astin	True
276	Richard Attenborough	Richard	Attenborough	7	12.0	richard	attenborough	richard_attenborough	True
277	Pernilla August	Pernilla	August	8	6.0	pernilla	august	pernilla_august	False
278	Hank Azaria	Hank	Azaria	4	6.0	hank	azaria	hank_azaria	True
279	Catherine Bach	Catherine	Bach	9	4.0	catherine	bach	catherine_bach	True
280	Scott Baio	Scott	Baio	5	4.0	scott	baio	scott_baio	True
281	Scott Bairstow	Scott	Bairstow	5	8.0	scott	bairstow	scott_bairstow	True
282	Brenda Bakke	Brenda	Bakke	6	5.0	brenda	bakke	brenda_bakke	True
283	Adam Baldwin	Adam	Baldwin	4	7.0	adam	baldwin	adam_baldwin	True
284	Alec Baldwin	Alec	Baldwin	4	7.0	alec	baldwin	alec_baldwin	True
285	Stephen Baldwin	Stephen	Baldwin	7	7.0	stephen	baldwin	stephen_baldwin	True
286	William Baldwin	William	Baldwin	7	7.0	william	baldwin	william_baldwin	True
287	Christian Bale	Christian	Bale	9	4.0	christian	bale	christian_bale	True
288	Ellen Barkin	Ellen	Barkin	5	6.0	ellen	barkin	ellen_barkin	True
289	John Barry	John	Barry	4	5.0	john	barry	john_barry	True
290	Angela Bassett	Angela	Bassett	6	7.0	angela	bassett	angela_bassett	True
291	Michelle Bauer	Michelle	Bauer	8	5.0	michelle	bauer	michelle_bauer	False
292	Sean Bean	Sean	Bean	4	4.0	sean	bean	sean_bean	True
293	Amanda Bearse	Amanda	Bearse	6	6.0	amanda	bearse	amanda_bearse	False
294	Kate Beckinsale	Kate	Beckinsale	4	10.0	kate	beckinsale	kate_beckinsale	True
295	Robert Beltran	Robert	Beltran	6	7.0	robert	beltran	robert_beltran	True
296	Tom Berenger	Tom	Berenger	3	8.0	tom	berenger	tom_berenger	True
297	Candice Bergen	Candice	Bergen	7	6.0	candice	bergen	candice_bergen	True
298	Michael Biehn	Michael	Biehn	7	5.0	michael	biehn	michael_biehn	True
299	Juliette Binoche	Juliette	Binoche	8	7.0	juliette	binoche	juliette_binoche	True
300	Thora Birch	Thora	Birch	5	5.0	thora	birch	thora_birch	False
301	Jacqueline Bisset	Jacqueline	Bisset	10	6.0	jacqueline	bisset	jacqueline_bisset	True
302	Honor Blackman	Honor	Blackman	5	8.0	honor	blackman	honor_blackman	False
303	Linda Blair	Linda	Blair	5	5.0	linda	blair	linda_blair	True
304	Mel Blanc	Mel	Blanc	3	5.0	mel	blanc	mel_blanc	True
305	Brian Blessed	Brian	Blessed	5	7.0	brian	blessed	brian_blessed	True
306	Helena Bonham Carter	Helena	Bonham Carter	6	13.0	helena	bonham carter	helena_bonham carter	False
307	Ernest Borgnine	Ernest	Borgnine	6	8.0	ernest	borgnine	ernest_borgnine	True
308	David Bowie	David	Bowie	5	5.0	david	bowie	david_bowie	True
309	Bruce Boxleitner	Bruce	Boxleitner	5	10.0	bruce	boxleitner	bruce_boxleitner	True
310	Annie Rosar	Annie	Rosar	5	5.0	annie	rosar	annie_rosar	False
311	Amy Brenneman	Amy	Brenneman	3	9.0	amy	brenneman	amy_brenneman	False
312	Jeff Bridges	Jeff	Bridges	4	7.0	jeff	bridges	jeff_bridges	True
313	Charles Bronson	Charles	Bronson	7	7.0	charles	bronson	charles_bronson	True
314	Louise Brooks	Louise	Brooks	6	6.0	louise	brooks	louise_brooks	True
315	Mel Brooks	Mel	Brooks	3	6.0	mel	brooks	mel_brooks	True
316	Clancy Brown	Clancy	Brown	6	5.0	clancy	brown	clancy_brown	True
317	Tim Burton	Tim	Burton	3	6.0	tim	burton	tim_burton	True
318	Yancy Butler	Yancy	Butler	5	6.0	yancy	butler	yancy_butler	True
319	Luis Buñuel	Luis	Buñuel	4	6.0	luis	buñuel	luis_buñuel	True
320	Gabriel Byrne	Gabriel	Byrne	7	5.0	gabriel	byrne	gabriel_byrne	True
321	Emmanuelle Béart	Emmanuelle	Béart	10	5.0	emmanuelle	béart	emmanuelle_béart	False
322	Michael Caine	Michael	Caine	7	5.0	michael	caine	michael_caine	True
323	Barbara Carrera	Barbara	Carrera	7	7.0	barbara	carrera	barbara_carrera	True
324	David Caruso	David	Caruso	5	6.0	david	caruso	david_caruso	True
325	Kim Cattrall	Kim	Cattrall	3	8.0	kim	cattrall	kim_cattrall	False
