	primaryName	first	last	first.c	last.c	first.l	last.l	bigram	wv.exists
9551	Alberto Acevedo	Alberto	Acevedo	7	7.0	alberto	acevedo	alberto_acevedo	False
9552	Ana María Acevedo	Ana	María Acevedo	3	13.0	ana	maría acevedo	ana_maría acevedo	False
9553	Angel L. Acevedo	Angel	L. Acevedo	5	10.0	angel	l. acevedo	angel_l. acevedo	False
9554	Antonio Acevedo	Antonio	Acevedo	7	7.0	antonio	acevedo	antonio_acevedo	False
9555	Benny Acevedo	Benny	Acevedo	5	7.0	benny	acevedo	benny_acevedo	False
9556	Bertina Acevedo	Bertina	Acevedo	7	7.0	bertina	acevedo	bertina_acevedo	False
9557	Beto Acevedo	Beto	Acevedo	4	7.0	beto	acevedo	beto_acevedo	False
9558	Carlos Acevedo	Carlos	Acevedo	6	7.0	carlos	acevedo	carlos_acevedo	False
9559	Carlos Acevedo	Carlos	Acevedo	6	7.0	carlos	acevedo	carlos_acevedo	False
9560	Carolina Acevedo	Carolina	Acevedo	8	7.0	carolina	acevedo	carolina_acevedo	False
9561	Damián Acevedo	Damián	Acevedo	6	7.0	damián	acevedo	damián_acevedo	False
9562	Danny Acevedo	Danny	Acevedo	5	7.0	danny	acevedo	danny_acevedo	False
9563	Diana Acevedo	Diana	Acevedo	5	7.0	diana	acevedo	diana_acevedo	False
9564	Erica Mireles Folsey	Erica	Mireles Folsey	5	14.0	erica	mireles folsey	erica_mireles folsey	False
9565	Fabio Acevedo	Fabio	Acevedo	5	7.0	fabio	acevedo	fabio_acevedo	False
9566	Francisco Acevedo	Francisco	Acevedo	9	7.0	francisco	acevedo	francisco_acevedo	False
9567	Gilberto Acevedo	Gilberto	Acevedo	8	7.0	gilberto	acevedo	gilberto_acevedo	False
9568	Ginette Acevedo	Ginette	Acevedo	7	7.0	ginette	acevedo	ginette_acevedo	False
9569	Gino Acevedo	Gino	Acevedo	4	7.0	gino	acevedo	gino_acevedo	False
9570	Gustavo Acevedo	Gustavo	Acevedo	7	7.0	gustavo	acevedo	gustavo_acevedo	False
9571	Horacio Acevedo	Horacio	Acevedo	7	7.0	horacio	acevedo	horacio_acevedo	False
9572	Ingrid B. de Acevedo	Ingrid	B. de Acevedo	6	13.0	ingrid	b. de acevedo	ingrid_b. de acevedo	False
9573	Jesús Acevedo	Jesús	Acevedo	5	7.0	jesús	acevedo	jesús_acevedo	False
9574	John Acevedo	John	Acevedo	4	7.0	john	acevedo	john_acevedo	False
9575	Jon Acevedo	Jon	Acevedo	3	7.0	jon	acevedo	jon_acevedo	False
9576	Jose Acevedo	Jose	Acevedo	4	7.0	jose	acevedo	jose_acevedo	False
9577	Juanita Acevedo	Juanita	Acevedo	7	7.0	juanita	acevedo	juanita_acevedo	False
9578	Kirk Acevedo	Kirk	Acevedo	4	7.0	kirk	acevedo	kirk_acevedo	False
9579	Lisa Acevedo	Lisa	Acevedo	4	7.0	lisa	acevedo	lisa_acevedo	False
9580	Luis Acevedo	Luis	Acevedo	4	7.0	luis	acevedo	luis_acevedo	False
9581	Manuel Acevedo	Manuel	Acevedo	6	7.0	manuel	acevedo	manuel_acevedo	False
9582	Marcelo Acevedo	Marcelo	Acevedo	7	7.0	marcelo	acevedo	marcelo_acevedo	False
9583	Mari Ángeles Acevedo	Mari	Ángeles Acevedo	4	15.0	mari	ángeles acevedo	mari_ángeles acevedo	False
9584	Miriam Acevedo	Miriam	Acevedo	6	7.0	miriam	acevedo	miriam_acevedo	False
9585	Peter Acevedo	Peter	Acevedo	5	7.0	peter	acevedo	peter_acevedo	False
9586	Rafael Acevedo	Rafael	Acevedo	6	7.0	rafael	acevedo	rafael_acevedo	False
9587	Raymond Acevedo	Raymond	Acevedo	7	7.0	raymond	acevedo	raymond_acevedo	False
9588	Ronnie Acevedo	Ronnie	Acevedo	6	7.0	ronnie	acevedo	ronnie_acevedo	False
9589	Ruben Acevedo	Ruben	Acevedo	5	7.0	ruben	acevedo	ruben_acevedo	False
9590	Santos B. Acevedo	Santos	B. Acevedo	6	10.0	santos	b. acevedo	santos_b. acevedo	False
9591	Steve Acevedo	Steve	Acevedo	5	7.0	steve	acevedo	steve_acevedo	False
9592	Toneey Acevedo	Toneey	Acevedo	6	7.0	toneey	acevedo	toneey_acevedo	False
9593	William Acevedo	William	Acevedo	7	7.0	william	acevedo	william_acevedo	False
9594	Yamandú Acevedo	Yamandú	Acevedo	7	7.0	yamandú	acevedo	yamandú_acevedo	False
9595	Óscar Acevedo	Óscar	Acevedo	5	7.0	óscar	acevedo	óscar_acevedo	False
9596	Alejandro Acevedo-Gutiérrez	Alejandro	Acevedo-Gutiérrez	9	17.0	alejandro	acevedo-gutiérrez	alejandro_acevedo-gutiérrez	False
9597	Luis Aceves Castañeda	Luis	Aceves Castañeda	4	16.0	luis	aceves castañeda	luis_aceves castañeda	False
9598	Miguel Aceves Mejía	Miguel	Aceves Mejía	6	12.0	miguel	aceves mejía	miguel_aceves mejía	False
9599	Gabriella Aceves	Gabriella	Aceves	9	6.0	gabriella	aceves	gabriella_aceves	False
9600	Gustavo Aceves	Gustavo	Aceves	7	6.0	gustavo	aceves	gustavo_aceves	False
9601	Harold Aceves	Harold	Aceves	6	6.0	harold	aceves	harold_aceves	False
9602	Heriberto Aceves	Heriberto	Aceves	9	6.0	heriberto	aceves	heriberto_aceves	False
9603	José de Jesús Aceves	José	de Jesús Aceves	4	15.0	josé	de jesús aceves	josé_de jesús aceves	False
9604	Sharo Aceves	Sharo	Aceves	5	6.0	sharo	aceves	sharo_aceves	False
9605	Jon Acevski	Jon	Acevski	3	7.0	jon	acevski	jon_acevski	False
9606	Stevce Acevski	Stevce	Acevski	6	7.0	stevce	acevski	stevce_acevski	False
9607	Harold Acey	Harold	Acey	6	4.0	harold	acey	harold_acey	False
9608	Robert Acey	Robert	Acey	6	4.0	robert	acey	robert_acey	False
9609	Wendy Acey	Wendy	Acey	5	4.0	wendy	acey	wendy_acey	False
